company,patent_count,unique_ipc_sections,avg_abstract_len,has_abstract_pct
TOYOTA,145,5,833.4,100.0
BOSCH,144,5,905.7,100.0
TOSHIBA,143,5,883.7,100.0
HITACHI,142,5,957.6,100.0
HONDA,142,5,964.4,100.0
HUAWEI,142,5,1129.3,100.0
VOLKSWAGEN,141,5,966.9,100.0
PANASONIC,141,5,795.5,100.0
SIEMENS,139,5,966.3,100.0
LG ELECTRONICS,137,5,756.1,100.0
ABB,136,5,900.1,97.1
SAMSUNG,135,5,757.1,100.0
GENERAL ELECTRIC,132,5,851.5,98.5
BMW,131,5,892.5,100.0
CANON,130,5,776.6,100.0
AIRBUS,129,5,862.1,99.2
HONEYWELL,125,5,800.3,99.2
IBM,123,5,735.2,99.2
APPLE,119,5,698.5,100.0
SONY,114,5,746.6,100.0
GOOGLE,113,5,727.5,97.3
MICROSOFT,108,4,790.9,97.2
SCHNEIDER ELECTRIC,102,5,950.6,95.1
INFINEON,100,5,758.1,100.0
INTEL,92,5,700.3,100.0
BASF,91,4,929.6,97.8
PHILIPS,88,4,837.3,100.0
QUALCOMM,86,5,720.7,100.0
NOKIA,84,4,734.4,98.8
ERICSSON,83,5,827.6,98.8
SAP,67,3,798.7,100.0
ROCHE,58,4,843.9,93.1
BAYER,35,3,465.5,94.3
NOVARTIS,2,2,906.5,100.0
